,l2 error,nb components,L1 relative error
LQI-LV1,1.3765,5.0000,11.4399
LQI-LV2,1.2075,4.0000,11.0112
LQI-VM,0.7691,4.0000,6.8236
LRH-LC,1.2155,2.0000,8.2183
LRH-LC1,1.3249,3.0000,9.3727
LRH-LC2,1.2807,4.0000,9.0978
LRH-LC3,0.8729,4.0000,6.4604
LRN-BRE1,1.3788,3.0000,9.8306
LRN-BRE2,1.0937,4.0000,9.4369
LRN-BRE3,1.3672,4.0000,10.2202
LRN-BRW1,0.8439,4.0000,6.2737
LRN-BRW2,0.6484,5.0000,5.6787
LRN-CAE1,0.4578,4.0000,3.7511
LRN-CAE2,0.5436,5.0000,5.3160
LRN-CAW1,1.4168,3.0000,10.1058
LRN-CAW2,1.2474,5.0000,10.7273
LRN-CG1,1.6745,3.0000,11.5298
LRN-CG2,1.1666,5.0000,9.7260
LRN-RD,0.9136,4.0000,7.5876
LRN-SU1,1.0407,6.0000,8.4457
LRN-SU2,1.2577,6.0000,10.2970
LRN-VG,1.0693,4.0000,7.3835
LRN-VH1,1.5163,2.0000,10.4077
LRN-VH2,1.7488,4.0000,11.0229
LRN-VH3,1.3407,4.0000,10.4399
LRO-LC1,0.8277,4.0000,8.8024
LRO-LC2,0.8979,4.0000,8.9719
LRS-VD,1.0850,3.0000,6.4394
LSG-LP,0.5707,5.0000,4.3333
LTI-BV,0.8153,3.0000,7.7354
LTR-VG,1.2079,3.0000,8.3481
LTY-PC,0.9437,5.0000,8.6198
LUI-LG,1.2220,3.0000,8.2548
LVB-LF,1.2828,4.0000,10.5901
LVB-LG,1.3338,4.0000,12.4746
LVC-LM,1.6180,3.0000,10.3583
LVG-LB,1.6445,4.0000,12.2598
LVI-LC,1.6345,4.0000,11.2358
LYT-CT,1.0569,4.0000,9.0825
LYT-KS1,1.3302,5.0000,12.2872
LYT-KS2,1.2303,4.0000,11.5921
MAB-LB,0.9714,3.0000,8.5727
MAB-LG,0.5904,4.0000,4.2552
MAB-LH,0.7826,4.0000,5.6717
MAB-LL,0.9714,3.0000,8.5727
MAE-KS,1.2022,4.0000,9.6341
MAO-LQ,1.3810,4.0000,10.8493
MAO-VR,1.0719,5.0000,9.4000
MAP-PB,1.3932,2.0000,9.5016
MAR-CP,0.5851,4.0000,4.5463
MAT-LM,1.1021,4.0000,8.4517
MAT-PS,1.5350,3.0000,10.9538
MAT-PS2,1.4352,4.0000,10.3558
MAU-BG1,1.1521,5.0000,10.5574
MAU-BG2,1.0898,4.0000,10.0381
MAU-PB,1.3983,4.0000,12.6285
MAU-SU,1.2578,3.0000,10.9561
MAU-VJ,1.6121,3.0000,9.7199
MAX-LB,1.0448,5.0000,10.2948
MAX-LT,0.8909,5.0000,8.6010
MDL-GV,1.0136,3.0000,8.9811
MDL-LM,1.2851,4.0000,12.6695
MDR-BG,1.4127,3.0000,10.0778
MDR-GF,0.7453,1.0000,5.0076
MDR-LE,1.5824,3.0000,11.6285
MDR-QR1,1.0224,3.0000,6.8807
MDR-QR2,0.6568,6.0000,5.1288
MDR-SV,0.9682,4.0000,9.2073
MEL-HF,1.0063,3.0000,6.5928
MEL-NR,2.3907,4.0000,11.6845
MEN-BO,0.8626,4.0000,5.5887
MEN-CO,0.9889,3.0000,6.4316
MEN-EF,0.8447,4.0000,6.6014
MEN-LB,0.9650,4.0000,8.2658
MER-LR,1.2864,3.0000,8.6379
MES-RG,0.7849,4.0000,5.1025
MFT-AB,1.1155,5.0000,9.7950
MFT-FT,1.2941,5.0000,11.6458
MFT-FT2,1.2425,3.0000,8.4682
MFT-FT3,1.3117,3.0000,9.0451
MFT-HC,2.1064,4.0000,16.9694
MFT-LA,1.2075,4.0000,9.3017
MLC-LH,0.8051,4.0000,6.0213
MLC-LM,0.6486,4.0000,5.8403
MLC-PM,0.8295,4.0000,5.3450
MLC-VA,1.8164,5.0000,11.2766
MLC-VE,0.9357,3.0000,8.1326
MLL-LG,1.1741,3.0000,8.0024
MMV-VG,1.1708,5.0000,9.4288
MOH-LG,0.8920,5.0000,8.2464
MOH-PJ,0.7985,3.0000,5.2040
MOH-TF,0.9075,4.0000,7.2101
MOR-MC,1.1717,4.0000,8.7228
MOR-PT,0.8360,5.0000,7.7412
MOR-VB,1.3260,5.0000,10.7902
MOU-BG,0.9022,5.0000,8.3144
MOX-GC,0.9739,4.0000,9.0090
MOZ-LL,1.1046,4.0000,9.3748
MRD-LG1,0.8468,2.0000,5.3289
MRD-LG2,0.9695,5.0000,8.4727
MRD-LG3,2.1567,2.0000,13.9548
MRD-LG4,1.9720,2.0000,13.0995
MRD-VC1,1.2926,3.0000,7.6930
MRD-VC2,0.5987,1.0000,5.0881
MRD-VC3,0.9273,1.0000,6.7770
MRD-VC4,0.8525,6.0000,6.9890
MRD-VC5,1.0168,3.0000,7.3796
MRN-LB,0.8414,4.0000,6.6504
MSB-CF,1.1236,5.0000,10.7955
MSB-EC,1.4154,3.0000,11.8973
MSB-MO,1.1335,4.0000,8.0751
MTB-BG,0.9585,5.0000,8.1555
MTB-CH,1.2130,2.0000,8.3751
MTB-LL,0.8329,5.0000,5.5426
MTB-LN,1.2970,3.0000,8.3645
MTB-LT,0.9015,4.0000,6.6582
MTB-MD1,1.0706,3.0000,8.9437
MTB-MD2,0.8699,5.0000,6.6413
MTB-MD3,0.6617,5.0000,5.3161
MTB-MD4,1.0802,3.0000,7.3092
MTB-MD5,1.0491,4.0000,6.8111
MTB-VL,1.7271,4.0000,9.2236
MTF-BG,1.4839,3.0000,9.5686
MTF-LB,1.2924,4.0000,9.2317
MTI-CM,2.5526,4.0000,13.6898
MTR-LQ,1.3360,3.0000,9.1931
MUL-CG,1.7249,4.0000,11.1076
MUL-LH,1.7189,4.0000,12.2243
MUL-LP,1.3164,4.0000,11.0920
MUL-PH,1.0831,3.0000,7.8670
MUL-VL,1.7095,3.0000,12.9339
NTY-KM,1.7095,4.0000,8.8592
NTY-KN,1.1930,3.0000,6.6295
NTY-PH,1.7491,3.0000,12.1176
NVT-BG,0.8438,4.0000,7.6860
NYL-LC,1.0937,4.0000,9.8258
NYV-CH,0.7540,4.0000,6.1812
NYV-LB,1.1836,3.0000,9.8209
ORG-AU,0.8159,3.0000,5.7702
ORG-MC,1.5088,4.0000,11.0023
OSS-QV,1.0357,5.0000,8.3607
PAC-BA,0.4980,5.0000,5.9737
PAC-BU,1.1965,4.0000,11.3706
PAC-BV,0.8208,4.0000,5.9194
PAC-LT,1.7833,4.0000,12.1501
PAC-PA,0.8178,4.0000,7.6296
PAN-LP,0.9613,3.0000,7.1138
PAP-BG,1.1940,3.0000,7.9365
PAP-ET,1.6067,3.0000,12.7474
PAP-FP,1.7415,4.0000,12.8756
PAP-PH1,0.7174,5.0000,6.4589
PAP-PH2,1.2426,4.0000,9.0424
PAP-PH3,0.7777,4.0000,6.7428
PAP-RB,1.6252,3.0000,12.2747
PAR-LD,1.0721,4.0000,9.5425
PBY-GV,1.0471,4.0000,8.4883
PCH-LJ,0.9953,5.0000,9.7943
PGL-LH,1.3141,4.0000,10.5924
PGN-LC,1.3901,5.0000,11.4969
PGN-PI,0.7670,5.0000,6.2164
PGR-CC,1.1657,6.0000,9.4914
PGR-LR,1.2675,4.0000,9.0611
PGU-BG,1.9020,5.0000,12.4804
PGU-KG,2.4018,6.0000,15.0800
PGU-KV,0.9309,4.0000,6.6421
PGV-KG2a,0.8898,4.0000,6.0171
PGV-KG2b,0.6825,5.0000,5.6227
PGV-KG3a,1.0346,6.0000,8.9087
PGV-KG3b,0.7783,4.0000,4.9200
PGV-KG3c,0.9107,5.0000,6.4491
PGV-KG3d,0.8709,5.0000,6.9719
PGV-PP1a,1.2825,4.0000,9.7841
PGV-PP1b,1.2012,4.0000,9.0164
PGV-PP1c,0.7693,5.0000,6.2940
PIN-TB,1.1592,4.0000,9.4614
PLA-KR,1.8440,5.0000,14.8755
PLB-HP,1.0286,3.0000,6.9314
PLB-LHG,1.7394,4.0000,11.9013
PLB-LHV,1.3398,4.0000,10.4464
PLB-LM1,1.1979,3.0000,9.1420
PLB-LM2,1.0888,3.0000,8.4020
PLB-VN1,1.4108,1.0000,9.3858
PLB-VN2,2.2357,4.0000,14.3342
PLC-BV,1.6755,3.0000,11.8381
PLC-FO,1.4004,4.0000,10.8505
PLC-FR,1.7098,4.0000,12.6669
PLC-LP,1.1346,4.0000,8.8643
PLD-KG,2.1230,4.0000,14.3661
PLE-LF,1.3371,4.0000,8.9091
PLF-CH,0.7179,5.0000,4.8737
PLF-MD,0.6289,5.0000,5.2735
PLG-LB,1.0994,4.0000,10.0884
PLG-LC,1.0889,4.0000,8.6812
PLG-LM,0.7841,5.0000,6.2045
PLG-QC,1.0613,5.0000,8.5497
PLG-QL1,1.1260,4.0000,7.4751
PLG-QL2,1.0005,5.0000,8.3835
PLH-KD1,1.7961,5.0000,13.9307
PLH-KD2,1.6376,5.0000,13.4903
PLH-TL,2.2063,4.0000,14.1931
PLI-CQ,0.8902,5.0000,8.0810
PLI-VC,1.7645,4.0000,11.7931
PLI-VH,1.3032,3.0000,8.9071
PLJ-JN,0.7964,4.0000,5.6067
PLJ-PB,1.0648,4.0000,6.6625
PLL-BG,0.9965,4.0000,7.9513
PLL-SQ,1.8045,4.0000,12.1292
PLM-LC,0.7288,4.0000,6.0178
PLM-LN,1.0057,3.0000,6.7999
