,l2 error,nb components,L1 relative error
SVR-PJ,0.9555,5.0000,7.5618
SXA-LC,0.9131,4.0000,7.3599
TAU-KB,0.6484,3.0000,5.0094
TGM-LB,1.1455,4.0000,8.5143
TGM-LV,0.8464,5.0000,8.1542
TGR-LL,1.7560,4.0000,13.6362
THR-BN,1.8639,4.0000,13.0033
TIN-BG1,0.6051,5.0000,5.4679
TIN-BG2,0.9888,3.0000,6.6187
TIN-MJ,0.9771,5.0000,7.6363
TLF-GM,2.6648,5.0000,14.3445
TLF-MY,1.0569,4.0000,8.2800
TLS-LG,1.9288,3.0000,13.7821
TLS-LM,1.0605,3.0000,7.1622
TLS-RD1,1.3966,3.0000,9.7522
TLS-RD2,0.9479,5.0000,7.9672
TLS-RD3,1.1171,4.0000,10.8246
TLS-RD4,1.2074,5.0000,9.6839
TLS-RD5,1.1986,4.0000,11.2751
TMH-LG,0.8076,4.0000,5.9529
TRC-KD,0.9402,4.0000,6.7620
TRD-MB,0.6836,5.0000,4.8838
TRE-LF,0.9256,2.0000,7.6093
TRF-LC,0.8177,4.0000,7.2612
TRF-LP,1.6285,4.0000,13.6599
TRF-LP2,1.0464,4.0000,10.4208
TRL-LP,0.8326,4.0000,4.8246
TRM-LG,1.2579,3.0000,8.3809
TRN-BG,0.7875,6.0000,6.6902
TRN-LP,1.1117,5.0000,9.9663
TRN-MM,2.0522,3.0000,13.2142
TRR-BM,0.8716,4.0000,7.2830
TRV-KC,1.0828,5.0000,8.1308
TRV-LF,1.2195,4.0000,9.3573
TVR-LP,1.3903,5.0000,11.5743
TVR-LS,1.8814,3.0000,14.4850
VAY-LA,0.9060,5.0000,8.0953
VDL-PM,0.8835,5.0000,6.6461
VIG-BG,0.7987,5.0000,5.1190
VIZ-HL,2.6208,3.0000,16.3134
VIZ-VO,1.6822,3.0000,10.8837
VZC-LL,2.4343,5.0000,12.7901
VZS-LL,0.9628,2.0000,6.3623
YFN-LV,1.1597,4.0000,9.9294
YFN-VH,1.4355,4.0000,11.9760
YVG-CC,0.5493,5.0000,4.8139
YVG-LY,0.6189,3.0000,5.3065
YVG-QB,0.8489,5.0000,6.4793
