,l2 error,nb components,L1 relative error
REN-LV,2.9448,2.0000,17.1764
REN-RT,1.6347,5.0000,10.6272
REN-SL1,1.1583,5.0000,6.8258
REN-SL2,1.0510,5.0000,6.1648
REN-SL3,0.7526,5.0000,5.5804
REN-SL4,0.9955,6.0000,7.3128
REN-SU,0.9127,7.0000,6.6914
RET-BT,2.4966,4.0000,14.5762
RET-LB,1.3387,7.0000,9.0468
RET-LR,1.2922,4.0000,9.0793
RHN-CP,1.1092,6.0000,7.0652
RIM-LA,1.3533,7.0000,9.5255
RIM-LP,1.1404,6.0000,6.8682
ROL-VH,1.2489,6.0000,7.8881
ROM-PP,1.5423,4.0000,8.2398
ROM-PR,0.8024,5.0000,5.2214
ROM-PY,0.7785,5.0000,5.1514
ROM-PY2,1.0835,5.0000,7.3271
ROU-GB,0.6516,5.0000,4.3575
ROU-KM1,2.0247,4.0000,12.7040
ROU-KM2,3.3663,4.0000,22.0815
ROU-LP,0.8504,5.0000,4.5829
RST-KM1,2.8296,4.0000,16.4376
RST-KM2,1.1329,7.0000,6.9893
RST-KM3,1.1352,7.0000,7.9046
RST-KP1,2.8807,4.0000,18.4829
RST-KP2,2.7669,5.0000,17.7062
RST-KP3,2.3294,4.0000,14.7358
RST-KP4,1.7582,4.0000,11.6095
SAA-LF,1.1382,5.0000,8.9508
SAC-BP,1.9424,7.0000,11.2310
SAC-LG,1.1318,6.0000,8.7749
SAE-LB,1.1311,6.0000,7.4879
SAE-LD,1.0180,7.0000,7.3724
SAE-LH,1.4019,5.0000,9.8853
SAE-LH2,2.9527,5.0000,16.4260
SAE-LH3,2.2887,4.0000,12.1607
SAE-LH4,3.6824,2.0000,20.4845
SAE-VV,0.8129,6.0000,4.5634
SAL-LT,0.9129,5.0000,6.3555
SAL-PH,1.0469,7.0000,7.9319
SAP-BG,1.0917,6.0000,7.0358
SAR-LT,0.8713,5.0000,6.4385
SBI-LP,0.8460,5.0000,3.9665
SCD-BG,1.0101,5.0000,6.2543
SCD-KD,1.6385,5.0000,9.9789
SCL-KM,2.7372,5.0000,15.4503
SCO-LP,1.6259,7.0000,11.4082
SCT-LM,1.3562,6.0000,6.7400
SDD-BB,0.7569,5.0000,5.4195
SDN-LB,1.0930,5.0000,7.1698
SDN-LT,1.0858,4.0000,5.9831
SEB-BG,0.9176,7.0000,6.6252
SEC-LC,1.7350,7.0000,8.7829
SEV-CQ,1.6295,4.0000,12.7266
SEV-HN1,0.8419,5.0000,5.9341
SEV-HN2,0.8794,5.0000,6.0145
SEV-LP,4.9394,3.0000,21.8879
SEV-PG,5.6287,2.0000,30.6416
SEV-VB,1.0536,5.0000,7.5314
SEV-VI,0.9435,5.0000,5.9477
SGB-BG,0.9243,5.0000,5.4927
SGB-GC,1.5443,5.0000,7.6296
SGD-LF,0.7839,5.0000,4.3539
SGR-CD,0.7724,5.0000,4.0634
SGR-LB,1.2276,5.0000,8.2458
SGR-LH1,0.7158,5.0000,5.3618
SGR-LH2,0.6378,5.0000,4.2108
SGR-LH3,0.9408,5.0000,5.1131
SGR-LH4,0.6611,5.0000,4.7494
SJC-LT,1.0094,5.0000,5.2698
SJI-KG,0.9261,5.0000,6.7106
SJI-LF,0.8794,5.0000,6.3809
SJV-BG,1.5919,4.0000,12.0785
SJV-BG2,1.4911,5.0000,9.0517
SJV-BN,0.8854,5.0000,4.7981
SJV-LH,1.4358,4.0000,6.9807
SLA-CR,0.8047,5.0000,5.7138
SLG-BG,1.4563,5.0000,9.7875
SLR-BG,1.4508,6.0000,10.8855
SMA-LT,1.8758,4.0000,10.6488
SMB-BG,1.0568,7.0000,7.0127
SMC-LA,1.2323,5.0000,6.9310
SMD-CA,4.5213,2.0000,26.7464
SMD-MT,1.1177,7.0000,7.5530
SMG-LY,0.6822,5.0000,3.8895
SMH-LM,0.7533,5.0000,4.9986
SML-HR,0.8697,5.0000,4.5146
SMM-BG,1.3571,7.0000,8.3531
SMM-CB,1.1378,5.0000,6.6038
SMM-LB,1.3628,7.0000,10.7651
SMM-LF,0.8858,5.0000,6.1278
SMM-LP,1.7484,6.0000,13.0485
SMM-VM,1.2941,7.0000,10.4522
SMN-PC,0.9293,5.0000,6.8700
SMP-LD,1.2492,5.0000,6.5999
SMP-PG,1.1634,5.0000,6.2377
SMR-LB,0.9514,5.0000,7.0152
SMZ-BG,0.9592,6.0000,6.6931
SON-TR,2.6163,7.0000,16.8496
SON-TR2,1.1047,5.0000,6.0440
SON-VJ1,3.1397,4.0000,13.4201
SON-VJ1b,3.2927,4.0000,12.7161
SON-VJ2,2.5133,2.0000,15.1170
SON-VJ3,2.8021,3.0000,17.5640
SON-VJ4,5.6625,2.0000,35.3770
SON-VJ5,3.4177,4.0000,16.5934
SON-VJ6,2.3447,4.0000,11.5380
SOU-LD,1.0004,7.0000,5.5897
SPE-BG,1.2652,5.0000,8.5087
SPG-PJ,1.2906,5.0000,7.7355
SPG-RA,0.9472,7.0000,6.4670
SPG-VL,1.1143,7.0000,7.6276
SPN-BM,0.7019,5.0000,4.1812
SPN-BM1,0.7210,5.0000,4.1608
SPN-BM2,3.2400,1.0000,21.4770
SPN-BM3,0.9536,5.0000,5.6365
SPN-ED,1.1627,5.0000,8.0919
SPN-LP,1.0700,5.0000,8.4504
SPN-VR1,1.2196,5.0000,6.5520
SPN-VR2,2.5091,4.0000,10.5859
SPN-VR3,1.2569,7.0000,9.2369
SPN-VR4,2.0828,7.0000,17.8382
SPN-VR5,0.8319,6.0000,6.3214
SPO-VE,0.9309,5.0000,5.0957
SQP-VR,1.2069,7.0000,8.8849
SRL-PL,1.6146,5.0000,10.6602
SRP-BG,0.7741,5.0000,6.4385
SRV-BC,1.3043,5.0000,8.6954
SSB-LL1,2.1752,7.0000,17.5749
SSB-LL2,1.5671,7.0000,13.8274
SSG-LF,1.4638,4.0000,8.4150
SSN-BH,1.2788,5.0000,8.6178
SSP-LF,1.3779,4.0000,9.2906
SSY-RO,1.1054,5.0000,5.6439
STG-BG,0.6498,5.0000,4.7336
STG-LA,0.7162,5.0000,4.7925
STG-LP1,0.6752,5.0000,4.7992
STG-LP2,0.7883,5.0000,5.3482
STG-MN,0.6332,5.0000,4.4458
STH-CS1,1.0635,5.0000,8.1037
STH-CS2,3.0110,4.0000,14.2422
STJ-TM,0.8873,6.0000,4.9172
STR-BA,0.9634,5.0000,5.9729
STU-VB,1.2779,5.0000,9.0369
SVR-HG,0.9253,5.0000,4.9778
SVR-PJ,0.9808,5.0000,5.4607
SXA-LC,1.0352,5.0000,6.8345
TAU-KB,2.0348,2.0000,11.7613
TGM-LB,0.9984,7.0000,7.2477
TGM-LV,1.1543,5.0000,7.4162
TGR-LL,0.9879,5.0000,5.1226
THR-BN,1.3586,5.0000,9.9525
TIN-BG1,1.2633,5.0000,8.4197
TIN-BG2,1.1008,5.0000,5.8198
TIN-MJ,0.8485,5.0000,4.9642
TLF-GM,2.0615,6.0000,9.6592
TLF-MY,0.9635,6.0000,5.3252
TLS-LG,1.9219,4.0000,9.3838
TLS-LM,1.1628,5.0000,8.1828
TLS-RD1,0.9105,5.0000,6.2452
TLS-RD2,0.8897,5.0000,5.0116
TLS-RD3,1.1920,7.0000,7.6526
TLS-RD4,0.6008,5.0000,5.5932
TLS-RD5,2.8433,6.0000,17.5222
TMH-LG,0.9999,7.0000,5.8683
TRC-KD,1.0551,7.0000,6.8470
TRD-MB,1.9771,4.0000,11.1224
TRE-LF,3.6450,2.0000,21.4601
TRF-LC,0.8561,7.0000,5.2271
TRF-LP,3.8610,5.0000,28.2172
TRF-LP2,1.1170,5.0000,7.9209
TRL-LP,1.0788,5.0000,4.4650
TRM-LG,0.8411,5.0000,4.7876
TRN-BG,1.2071,5.0000,5.3048
TRN-LP,0.8896,5.0000,4.6153
TRN-MM,1.0952,5.0000,5.9385
TRR-BM,0.6827,5.0000,4.5916
TRV-KC,1.2715,7.0000,6.4453
TRV-LF,1.0652,7.0000,6.5241
TVR-LP,1.6780,5.0000,11.0746
TVR-LS,2.2181,4.0000,12.9186
VAY-LA,0.9605,7.0000,7.3057
VDL-PM,1.3005,4.0000,8.0389
VIG-BG,1.1183,5.0000,5.7157
VIZ-HL,6.8311,4.0000,33.7365
VIZ-VO,1.0526,5.0000,8.2886
VZC-LL,3.8482,4.0000,17.6731
VZS-LL,1.3914,5.0000,7.6335
YFN-LV,1.4646,5.0000,9.2596
YFN-VH,0.8506,5.0000,4.9606
YVG-CC,1.5669,6.0000,9.7024
YVG-LY,1.6629,4.0000,9.4415
YVG-QB,1.0292,5.0000,6.7702
