,l2 error,nb components,L1 relative error
IRD-LB2,2.1191,4.0000,9.6889
IRD-LB3,0.8101,5.0000,5.4775
IRD-LC,0.8258,5.0000,4.7225
IRD-LG,0.8986,5.0000,5.5955
IRD-LH,1.0079,5.0000,5.1480
IRD-LM1,2.2079,4.0000,13.8172
IRD-LM2,0.9310,5.0000,5.7124
IRD-LM3,0.6678,5.0000,4.1177
IRD-LN1,0.9191,5.0000,5.3930
IRD-LN2,1.0483,5.0000,6.2511
IRD-LP1,0.8540,5.0000,5.2990
IRD-LP1b,0.6173,5.0000,4.5542
IRD-LP2,0.7357,5.0000,4.8196
IRD-LP3,0.7960,5.0000,4.9218
IRD-LP4,0.8315,5.0000,5.5278
IRD-LP5,0.6943,5.0000,4.6516
IRD-LP5b,0.7051,5.0000,5.0430
IRD-LP6,1.3976,4.0000,9.2400
IRD-LP7,1.9284,4.0000,12.5412
IRD-LP8,1.8051,5.0000,12.7018
IRD-MA,0.9884,5.0000,6.2898
IRD-MH,0.7978,5.0000,4.7775
IRD-OI,0.7961,5.0000,4.8335
IRD-PB,0.7470,5.0000,5.2759
IRD-PM1,1.0584,5.0000,6.6267
IRD-PM10,0.7349,5.0000,4.3440
IRD-PM2,1.3699,5.0000,8.4930
IRD-PM3,2.1540,4.0000,13.2049
IRD-PM4,1.9217,3.0000,11.2842
IRD-PM5,0.7480,5.0000,4.9061
IRD-PM7,1.0889,5.0000,5.7771
IRD-PM8,3.2937,3.0000,19.3939
IRD-PM9a,0.6615,5.0000,3.8505
IRD-PM9b,0.7983,5.0000,4.7947
IRD-PM9c,1.3591,4.0000,8.6308
IRD-PM9d,1.6940,4.0000,10.7933
IRD-PM9e,2.9039,4.0000,18.9913
IRD-PM9f,2.8938,3.0000,18.1367
IRD-PP,0.7282,5.0000,4.2402
IRD-PT1,1.1511,5.0000,5.4386
IRD-PT2,1.4337,4.0000,8.5405
IRD-PT3,1.1436,5.0000,6.6418
IRD-PY,1.0060,5.0000,4.9843
IRD-RR1,0.8146,5.0000,4.4130
IRD-RR2,0.7117,5.0000,4.1196
IRD-VP,0.8313,5.0000,4.7148
IRD-VS1,0.9046,5.0000,4.7515
IRD-VS2,0.7591,5.0000,3.7680
IRD-VS3,7.1769,5.0000,29.6051
IRD-VS4,0.8274,5.0000,4.4225
JNZ-GD,1.3079,4.0000,8.5432
JNZ-LC,3.0960,4.0000,22.2068
JNZ-VL,0.8897,5.0000,6.0384
LAG-CA,0.8522,5.0000,4.4105
LAH-CG,1.8189,7.0000,8.9696
LAI-BL,1.3231,6.0000,9.8062
LAL-BG,1.0482,5.0000,6.3343
LAM-LG,2.3739,4.0000,15.7652
LAN-CV,1.1703,5.0000,7.3215
LAN-KR,0.9618,5.0000,4.4742
LAR-SR,0.9357,5.0000,4.6795
LAT-VF,1.0820,6.0000,8.0114
LAY-BG,1.0684,6.0000,6.8566
LBC-LC,2.8619,4.0000,12.9634
LBR-LB,1.1573,4.0000,7.8099
LBR-PC,1.2956,4.0000,8.4860
LBS-LV,0.6823,5.0000,4.0186
LBX-CF,0.9039,6.0000,5.7125
LBX-GF,1.7948,7.0000,14.1465
LCB-LG,0.7022,5.0000,4.5803
LCC-FT,0.8111,5.0000,4.2723
LCC-HH,2.6846,4.0000,11.5598
LCC-LB,1.8832,4.0000,8.4164
LCC-PB,1.5740,4.0000,7.4972
LCF-LC1,1.3243,4.0000,7.2111
LCF-LC2,0.8558,5.0000,5.8891
LCG-BG,0.7534,5.0000,4.2410
LCL-PB,2.6953,4.0000,11.2003
LCR-LM,0.7249,5.0000,4.1307
LCR-PL1,2.4118,3.0000,13.4839
LCR-PL2,3.5987,4.0000,21.9996
LCT-BG1,1.5702,5.0000,12.1948
LCT-BG2,1.4111,5.0000,11.0899
LCY-LC,0.7876,5.0000,4.9553
LCY-LR,0.9165,5.0000,6.2130
LDB-BG,1.5631,5.0000,8.4739
LDC-LE,1.1520,5.0000,6.2011
LDC-LP,3.1663,3.0000,20.6784
LDC-LT,1.2332,4.0000,6.7950
LDC-VB1,1.2973,4.0000,7.5407
LDC-VB2,1.4873,7.0000,10.5856
LDJ-BG1,1.8166,4.0000,11.7256
LDJ-BG2,0.8499,5.0000,6.5868
LDJ-BQ,1.4716,5.0000,9.1249
LDJ-CM,0.8798,5.0000,5.6740
LDJ-LV,0.9265,5.0000,5.3383
LFE-LP,0.9194,5.0000,5.8862
LFF-HS,1.0620,5.0000,7.4632
LFG-CB,1.3666,4.0000,8.1513
LFR-BG,1.3063,5.0000,6.1708
LFT-BC,2.1639,5.0000,13.9843
LFY-LB,1.3943,4.0000,9.1974
LFY-LF,1.5171,5.0000,9.9366
LGA-BS,1.4746,5.0000,9.8884
LGA-LP,1.0171,5.0000,5.1948
LGA-VR1,0.8455,5.0000,4.9097
LGA-VR2,0.9082,6.0000,5.1714
LGF-LM,1.4976,7.0000,11.1980
LGR-LB,1.0853,5.0000,7.2345
LGR-PL,3.6548,4.0000,18.2969
LHG-BG,1.3794,6.0000,9.2513
LIF-BB,0.7357,5.0000,4.4588
LIF-BG,0.8989,5.0000,5.1227
LIF-SG,1.6343,5.0000,10.7303
LLL-BH,0.8040,5.0000,4.8630
LLL-JG1,1.8821,2.0000,10.5147
LLL-JG2,2.5555,4.0000,11.4407
LME-LH,0.7171,5.0000,4.0561
LME-LP1,0.7873,5.0000,5.5701
LME-LP2,0.6788,5.0000,4.3016
LME-LP3,0.7320,5.0000,4.3758
